file_A,file_B,key,vertical,tempo,timing,type,track,anchor,combo
features/Track00004_S01_p17_clean.pt,features/Track00004_S03_p17_clean.pt,1,1,1,1,positive,Track00004,17,bass_main
features/Track00004_S01_p17_aug0.pt,features/Track00004_S03_p17_aug0.pt,1,1,1,1,augmented,Track00004,17,bass_main
features/Track00004_S01_p17_aug1.pt,features/Track00004_S03_p17_aug1.pt,1,1,1,1,augmented,Track00004,17,bass_main
features/Track00004_S03_p17_clean.pt,features/Track00004_S01_p17_key2.pt,0,1,1,1,key,Track00004,17,bass_main
features/Track00004_S03_p17_clean.pt,features/Track00004_S01_p17_key3.pt,0,1,1,1,key,Track00004,17,bass_main
features/Track00004_S01_p17_clean.pt,features/Track00004_p17_vertical4.pt,1,0,1,1,vertical,Track00004,17,bass_main
features/Track00004_S01_p17_clean.pt,features/Track00004_p17_vertical5.pt,1,0,1,1,vertical,Track00004,17,bass_main
features/Track00004_S01_p17_clean.pt,features/Track00004_S03_p17_tempo6.pt,1,1,0,1,tempo,Track00004,17,bass_main
features/Track00004_S01_p17_clean.pt,features/Track00004_S03_p17_tempo7.pt,1,1,0,1,tempo,Track00004,17,bass_main
features/Track00004_S03_p17_clean.pt,features/Track00004_S01_p17_timing8.pt,1,1,1,0,timing,Track00004,17,bass_main
features/Track00004_S03_p17_clean.pt,features/Track00004_S01_p17_timing9.pt,1,1,1,0,timing,Track00004,17,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_S03_p32_clean.pt,1,1,1,1,positive,Track00004,32,bass_main
features/Track00004_S01_p32_aug10.pt,features/Track00004_S03_p32_aug10.pt,1,1,1,1,augmented,Track00004,32,bass_main
features/Track00004_S01_p32_aug11.pt,features/Track00004_S03_p32_aug11.pt,1,1,1,1,augmented,Track00004,32,bass_main
features/Track00004_S03_p32_clean.pt,features/Track00004_S01_p32_key12.pt,0,1,1,1,key,Track00004,32,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_S03_p32_key13.pt,0,1,1,1,key,Track00004,32,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_p32_vertical14.pt,1,0,1,1,vertical,Track00004,32,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_p32_vertical15.pt,1,0,1,1,vertical,Track00004,32,bass_main
features/Track00004_S03_p32_clean.pt,features/Track00004_S01_p32_tempo16.pt,1,1,0,1,tempo,Track00004,32,bass_main
features/Track00004_S03_p32_clean.pt,features/Track00004_S01_p32_tempo17.pt,1,1,0,1,tempo,Track00004,32,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_S03_p32_timing18.pt,1,1,1,0,timing,Track00004,32,bass_main
features/Track00004_S01_p32_clean.pt,features/Track00004_S03_p32_timing19.pt,1,1,1,0,timing,Track00004,32,bass_main
features/Track00003_S01_p3_clean.pt,features/Track00003_S03_p3_clean.pt,1,1,1,1,positive,Track00003,3,bass_main
features/Track00003_S01_p3_aug0.pt,features/Track00003_S03_p3_aug0.pt,1,1,1,1,augmented,Track00003,3,bass_main
features/Track00003_S01_p3_aug1.pt,features/Track00003_S03_p3_aug1.pt,1,1,1,1,augmented,Track00003,3,bass_main
features/Track00003_S03_p3_clean.pt,features/Track00003_S01_p3_key2.pt,0,1,1,1,key,Track00003,3,bass_main
features/Track00003_S03_p3_clean.pt,features/Track00003_S01_p3_key3.pt,0,1,1,1,key,Track00003,3,bass_main
features/Track00003_S01_p3_clean.pt,features/Track00003_p3_vertical4.pt,1,0,1,1,vertical,Track00003,3,bass_main
features/Track00003_S01_p3_clean.pt,features/Track00003_p3_vertical5.pt,1,0,1,1,vertical,Track00003,3,bass_main
features/Track00003_S01_p3_clean.pt,features/Track00003_S03_p3_tempo6.pt,1,1,0,1,tempo,Track00003,3,bass_main
