track,anchor_place,start_sec,end_sec,combo_type,stem_A,cat_A,file_A,stem_B,cat_B,file_B,key,timing,tempo,mode,polyrhythm
Track00001,18,107.987,113.986,drum_bass,S01,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S01_place018.wav,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S03_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,bass_main,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S03_place018.wav,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S00_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,drum_main,S01,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S01_place018.wav,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S00_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,mel_mel,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S05_place018.wav,S09,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S09_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S00_place018.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S07_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S00_place018.wav,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S02_place018.wav,1,1,1,1,1
Track00001,18,107.987,113.986,mel_mel,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S07_place018.wav,S09,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S09_place018.wav,1,1,1,1,1
Track00001,20,119.985,125.984,drum_bass,S01,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S01_place020.wav,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S03_place020.wav,1,1,1,1,1
Track00001,20,119.985,125.984,bass_main,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S03_place020.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S08_place020.wav,1,1,1,1,1
Track00001,20,119.985,125.984,drum_main,S01,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S01_place020.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S08_place020.wav,1,1,1,1,1
Track00001,20,119.985,125.984,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S04_place020.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S08_place020.wav,1,1,1,1,1
Track00001,20,119.985,125.984,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S04_place020.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S07_place020.wav,1,1,1,1,1
Track00001,20,119.985,125.984,mel_mel,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S08_place020.wav,S10,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S10_place020.wav,1,1,1,1,1
